id,i001,i002,i003,i004,i005,i006,i007,i008,i009,i010,i011,i012,i013,i014,i015,i016,i017,i018,i019,i020,i021,i022,i023,i024,i025,i026,i027,i028,i029,i030,i031,i032,i033,i034,i035,i036,i037,i038,i039,i040,i041,i042,i043,i044,i045,i046,i047,i048,i049,i050,i051,i052,i053,i054,i055,i056,i057,i058,i059,i060,i061,i062,i063,i064,i065,i066,i067,i068,i069,i070,i071,i072,i073,i074,i075,i076,i077,i078,i079,i080,i081,i082,i083,i084,i085,i086,i087,i088,i089,i090,i091,i092,i093,i094,i095,i096,i097,i098,i099,i100,i101,i102,i103,i104,i105,i106,i107,i108,i109,i110,i111,i112,i113,i114
1011,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,2,1,1,1,1,2,3
1012,1,2,1,2,1,1,1,1,1,1,2,1,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1
1013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1
1014,2,2,2,1,2,1,1,2,2,2,2,3,2,3,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1
1015,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1017,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,3,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2
1018,2,2,3,1,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,1,2,2,3,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1
5006,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1
5007,2,1,2,1,1,2,1,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5010,2,2,2,2,3,3,2,2,2,2,1,1,1,3,1,1,1,1,2,2,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1
5012,3,3,2,4,2,3,3,2,2,2,3,3,2,2,1,2,3,1,4,3,4,4,2,1,3,3,3,2,4,1,4,4,3,3,2,3,3,3,3,4,3,2,2,2,3,3,4,2,3,1,2,1,2,3,3,3,4,2,2,3,4,2,3,3,2,2,1,3,3,3,1,1,1,3,2,2,2,2,2,1,3,1,2,1,2,1,3,2,3,2,3,3,3,2,4,3,3,3,2,3,2,4,3,2,2,3,2,2,2,3,3,2,2,2
5014,1,1,3,2,3,3,1,1,1,1,3,1,3,3,3,1,1,1,1,2,1,2,1,1,2,2,2,3,4,1,2,4,4,1,3,2,1,2,2,2,4,4,1,1,1,1,1,4,1,1,1,2,1,2,2,4,4,2,1,4,2,1,2,1,4,1,3,3,1,1,2,1,1,1,4,2,1,2,4,1,1,2,2,2,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,3,1
5015,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1
5016,2,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5018,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
5019,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1
5026,3,2,2,2,2,1,3,2,2,1,1,1,1,3,2,2,1,1,1,4,2,2,3,4,2,1,4,2,2,2,4,4,2,2,2,2,2,2,3,4,4,4,2,3,2,2,2,3,3,3,2,1,2,1,2,2,2,2,4,2,2,3,3,2,2,2,2,2,4,2,2,1,1,2,1,3,2,2,4,2,2,2,2,1,2,4,3,4,2,3,1,4,2,3,3,2,2,2,2,4,2,2,1,2,2,2,2,2,3,2,2,3,3,2
5027,1,3,1,4,1,1,3,2,1,1,1,1,2,3,1,2,2,1,3,3,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,4,1,2,1,4,4,1,2,1,1,1,1,1,1,1,1,4,4,2,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,3,1,1,1,1,1,4,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1
5028,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5029,1,2,1,4,1,1,1,2,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,2,3,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
5030,3,4,1,4,2,2,1,2,2,2,1,1,3,3,1,1,1,1,1,3,3,4,1,2,4,1,4,4,2,1,1,4,2,4,3,4,4,1,1,1,4,4,2,1,3,4,1,1,1,1,4,1,1,4,4,1,4,1,2,4,3,1,1,1,4,1,1,1,1,1,4,1,1,4,4,1,1,4,4,4,4,1,1,1,1,1,4,1,1,1,2,1,4,3,1,2,1,1,3,4,1,4,4,1,1,3,1,2,1,1,1,1,1,1
5031,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,3,1,4,1,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,1,1,2,1,2,1,1,2,2,1,1
5032,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1
5033,2,3,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1
5034,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5035,1,1,1,4,2,2,1,1,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,3,2,3,3,2,4,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,3,2,3,3,2,1,1,1,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2
5042,2,3,2,2,1,2,2,1,1,1,1,1,1,3,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,3,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,2,2,1,2,1,2,1,2,2,2,1,2,2,1
5044,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,3,3,3,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,2,2,1
5045,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8001,1,2,2,2,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,2,1,3,3,2,1,1,3,2,1,1,1,2,1,1,4,2,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,2,2,1,1,2,2,1
8002,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,3,1,1,2,2,1,1,1,2,2,3,2,2,1,3,2,2,3,2,2,1,1,1,3,1,3,2,2,1,1,1,1,1,2,1,1,2,3,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,3,1,1,1,1,2,1,2,1,1,1,2,2,1
8004,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1
8005,4,2,2,2,3,4,2,2,3,4,2,3,2,4,1,2,1,1,1,2,2,2,1,1,3,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,3,3,1,2,1,2,1,2,2,2,1,2,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,2,2,1,1,3,1,1,2,2,1,1,1,3,1,1,2,2,1,1,2,1,2,1,1,2,1,1,3,2,2,1,3,3,3,3,3,3,1
8006,2,2,2,2,3,2,2,2,2,2,2,3,2,2,1,1,1,1,1,2,1,1,1,1,3,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,2,1,4,3,2,1,4,1,3,3,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,3,3,3,1
8007,2,1,2,2,2,2,1,1,1,1,1,2,2,2,3,2,2,2,1,1,2,1,3,1,2,1,2,1,1,1,3,3,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1
8008,2,2,2,4,2,2,2,1,2,2,2,1,2,3,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2,1,3,3,1,2,2,3,2,1,2,3,3,3,1,1,1,2,1,2,1,1,1,3,1,4,1,2,4,4,1,1,2,1,1,1,2,1,3,2,1,2,2,1,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,2,2,2,2,1,1,3,1,2,1,3,1,1,3,1,1,2,1,1,1,1,2,1,2,2,1,1
8009,2,2,3,2,2,2,3,1,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,1,3,2,3,3,2,1,4,4,1,2,2,2,1,3,2,3,2,2,2,1,1,2,3,3,2,1,3,2,3,2,2,3,4,3,2,2,2,2,1,1,2,1,2,1,2,2,3,1,2,1,3,1,1,2,3,1,2,1,2,2,1,2,1,3,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,3,3,1
27001,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1
27002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
27003,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,1
27004,2,2,2,2,2,1,2,1,1,1,1,1,2,3,1,2,3,1,1,1,1,2,1,1,2,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1
27005,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
27006,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1
27007,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,3,3,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,3,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,2,1,1,2,2,2,1
27008,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
27009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1
27010,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
